ASV,classification
Issatchenkia-ASV254,NoSig
Issatchenkia-ASV2573,NoSig
Issatchenkia-ASV2578,NoSig
Issatchenkia-ASV2588,NoSig
Issatchenkia-ASV260,NoSig
Issatchenkia-ASV261,NoSig
Issatchenkia-ASV2675,NoSig
Issatchenkia-ASV2685,NoSig
Issatchenkia-ASV27,HighHealthy
Issatchenkia-ASV275,NoSig
Issatchenkia-ASV276,NoSig
Issatchenkia-ASV278,NoSig
Issatchenkia-ASV2805,NoSig
Issatchenkia-ASV2813,NoSig
Issatchenkia-ASV2816,NoSig
Issatchenkia-ASV2823,NoSig
Issatchenkia-ASV285,NoSig
Issatchenkia-ASV2854,NoSig
Issatchenkia-ASV286,NoSig
Issatchenkia-ASV2867,NoSig
Issatchenkia-ASV2880,NoSig
Issatchenkia-ASV290,NoSig
Issatchenkia-ASV291,NoSig
Issatchenkia-ASV2937,NoSig
Issatchenkia-ASV298,NoSig
Issatchenkia-ASV3009,NoSig
Issatchenkia-ASV3026,NoSig
Issatchenkia-ASV303,NoSig
Issatchenkia-ASV3047,NoSig
Issatchenkia-ASV3069,NoSig
Issatchenkia-ASV3086,NoSig
Issatchenkia-ASV309,NoSig
Issatchenkia-ASV3095,NoSig
Issatchenkia-ASV3098,NoSig
Issatchenkia-ASV3114,NoSig
Issatchenkia-ASV3115,NoSig
Issatchenkia-ASV313,NoSig
Issatchenkia-ASV3133,NoSig
Issatchenkia-ASV3145,NoSig
Issatchenkia-ASV3146,NoSig
Issatchenkia-ASV3157,NoSig
Issatchenkia-ASV319,NoSig
Issatchenkia-ASV3216,NoSig
Issatchenkia-ASV3231,NoSig
Issatchenkia-ASV324,NoSig
Issatchenkia-ASV3257,NoSig
Issatchenkia-ASV328,NoSig
Issatchenkia-ASV3353,NoSig
Issatchenkia-ASV336,NoSig
Issatchenkia-ASV337,NoSig
Issatchenkia-ASV3385,NoSig
Issatchenkia-ASV340,NoSig
Issatchenkia-ASV3400,NoSig
Issatchenkia-ASV3414,NoSig
Issatchenkia-ASV342,NoSig
Issatchenkia-ASV3442,NoSig
Issatchenkia-ASV3452,NoSig
Issatchenkia-ASV3458,NoSig
Issatchenkia-ASV346,NoSig
Issatchenkia-ASV350,NoSig
Issatchenkia-ASV3578,NoSig
Issatchenkia-ASV36,HighHealthy
Issatchenkia-ASV3620,NoSig
Issatchenkia-ASV364,NoSig
Issatchenkia-ASV365,NoSig
Issatchenkia-ASV3659,NoSig
Issatchenkia-ASV3669,NoSig
Issatchenkia-ASV3687,NoSig
Issatchenkia-ASV37,HighBRD
Issatchenkia-ASV370,NoSig
Issatchenkia-ASV374,NoSig
Issatchenkia-ASV3752,NoSig
Issatchenkia-ASV376,NoSig
Issatchenkia-ASV3769,NoSig
Issatchenkia-ASV386,NoSig
Issatchenkia-ASV3877,NoSig
Issatchenkia-ASV3906,NoSig
Issatchenkia-ASV394,NoSig
Issatchenkia-ASV407,NoSig
Issatchenkia-ASV4090,NoSig
Issatchenkia-ASV413,NoSig
Issatchenkia-ASV4168,NoSig
Issatchenkia-ASV4253,NoSig
Issatchenkia-ASV4297,NoSig
Issatchenkia-ASV430,NoSig
Issatchenkia-ASV4317,NoSig
Issatchenkia-ASV437,NoSig
Issatchenkia-ASV4376,NoSig
Issatchenkia-ASV444,NoSig
Issatchenkia-ASV446,NoSig
Issatchenkia-ASV4475,NoSig
Issatchenkia-ASV4484,NoSig
Issatchenkia-ASV4566,NoSig
Issatchenkia-ASV461,NoSig
Issatchenkia-ASV4631,NoSig
Issatchenkia-ASV467,NoSig
Issatchenkia-ASV469,NoSig
Issatchenkia-ASV473,NoSig
Issatchenkia-ASV474,NoSig
Issatchenkia-ASV477,NoSig
Issatchenkia-ASV48,NoSig
Issatchenkia-ASV481,NoSig
Issatchenkia-ASV483,NoSig
Issatchenkia-ASV486,NoSig
Issatchenkia-ASV488,NoSig
Issatchenkia-ASV4903,NoSig
Issatchenkia-ASV492,NoSig
Issatchenkia-ASV4925,NoSig
Issatchenkia-ASV4940,NoSig
Issatchenkia-ASV497,NoSig
Issatchenkia-ASV4977,NoSig
Issatchenkia-ASV501,NoSig
Issatchenkia-ASV504,NoSig
Issatchenkia-ASV506,NoSig
Issatchenkia-ASV509,NoSig
Issatchenkia-ASV5095,NoSig
Issatchenkia-ASV5096,NoSig
Issatchenkia-ASV5120,NoSig
Issatchenkia-ASV514,NoSig
Issatchenkia-ASV52,NoSig
Issatchenkia-ASV522,NoSig
Issatchenkia-ASV524,NoSig
Issatchenkia-ASV5307,NoSig
Issatchenkia-ASV532,NoSig
Issatchenkia-ASV542,NoSig
Issatchenkia-ASV547,NoSig
Issatchenkia-ASV553,NoSig
Issatchenkia-ASV554,NoSig
Issatchenkia-ASV555,NoSig
Issatchenkia-ASV5563,NoSig
Issatchenkia-ASV558,NoSig
Issatchenkia-ASV56,HighHealthy
Issatchenkia-ASV564,NoSig
Issatchenkia-ASV576,NoSig
Issatchenkia-ASV58,NoSig
Issatchenkia-ASV585,NoSig
Issatchenkia-ASV588,NoSig
Issatchenkia-ASV59,NoSig
Issatchenkia-ASV5940,NoSig
Issatchenkia-ASV61,HighHealthy
Issatchenkia-ASV620,NoSig
Issatchenkia-ASV627,NoSig
Issatchenkia-ASV64,NoSig
Issatchenkia-ASV644,NoSig
Issatchenkia-ASV659,NoSig
Issatchenkia-ASV66,NoSig
Issatchenkia-ASV661,NoSig
Issatchenkia-ASV667,NoSig
Issatchenkia-ASV68,NoSig
Issatchenkia-ASV702,NoSig
Issatchenkia-ASV73,HighHealthy
Issatchenkia-ASV75,HighHealthy
Issatchenkia-ASV770,NoSig
Issatchenkia-ASV782,NoSig
Issatchenkia-ASV787,NoSig
Issatchenkia-ASV789,NoSig
Issatchenkia-ASV79,NoSig
Issatchenkia-ASV798,NoSig
Issatchenkia-ASV82,NoSig
Issatchenkia-ASV821,NoSig
Issatchenkia-ASV831,NoSig
Issatchenkia-ASV833,NoSig
Issatchenkia-ASV84,NoSig
Issatchenkia-ASV845,NoSig
Issatchenkia-ASV847,NoSig
Issatchenkia-ASV848,NoSig
Issatchenkia-ASV851,NoSig
Issatchenkia-ASV854,NoSig
Issatchenkia-ASV86,NoSig
Issatchenkia-ASV861,NoSig
Issatchenkia-ASV871,NoSig
Issatchenkia-ASV896,NoSig
Issatchenkia-ASV902,NoSig
Issatchenkia-ASV92,NoSig
Issatchenkia-ASV933,NoSig
Issatchenkia-ASV94,NoSig
Issatchenkia-ASV942,NoSig
Issatchenkia-ASV955,NoSig
Issatchenkia-ASV976,NoSig
Issatchenkia-ASV98,NoSig
Issatchenkia-ASV985,NoSig
Issatchenkia-ASV99,NoSig
Kazachstania-ASV1688,Outgroup
Kazachstania-ASV6787,Outgroup
Pichia-kudriavzevii-VN9Y-Blast,RefSequence
Pichia-kudriavzevii-3Y3-Blast,RefSequence
Pichia-kudriavzevii-ATCC6258-ITS,RefSequence
